sha1sum; hopper1_kvm_patched_conf1; hopper1_kvm_patched_conf2; hopper2_vmware_conf3; hopper4_vmware_conf2; hopper5_vmware_conf2_vmtools; hopper6_kvm_legacy_conf1; hopper6_kvm_legacy_conf2; hopper3_vbox_conf1; hopper3_vbox_conf2; hopper8_vbox_conf1_guestadditions; hopper8_vbox_conf2_guestadditions; hopper7_qemu_legacy_conf1; hopper7_qemu_legacy_conf2
ca288357af94c7b513572fdffbade67f3e9f2677; True; True; True; True; True; True; True; True; True; True; True; True; True
b6576e4c332de49cdd2a4ec480906b25bfa415f9; True; True; True; False; False; True; True; True; False; True; False; True; True
10108c9e309caa5db90f7b0f872d158656045f49; False; False; False; False; False; False; False; False; False; False; False; True; False
6f3b407d0b6bdad851870cce728aee19c84d4b0a; False; False; False; False; False; False; False; False; False; False; False; False; False
1732ae149b85152adb9e65c602248297a9e5910a; True; True; True; False; False; False; False; True; False; False; False; True; True
886743db7079067a4732668c13f44136943a83bd; True; True; True; False; False; False; False; True; False; True; False; True; True
841a9ce2857bed98c91a128a7312ff5a4c9af879; False; False; False; False; False; False; False; False; False; False; False; True; False
35f4fa8d9e8779504300aa449b862ff119ceee49; False; False; False; False; False; False; False; False; False; False; False; False; False
afa07b6d3ab14e96a6431be6d1328834e5b9811a; True; True; True; False; False; False; False; True; False; True; False; True; True
dbf7b94901a9655551af8dafc5153eb4e2aadb2a; True; True; True; False; False; True; True; True; False; True; False; True; True
0b5616228f6556b320ac0d2f586504538abb638e; True; True; True; False; False; True; True; True; False; True; False; True; True
00d75def65016b547f85f6b318d0201486cf43fd; True; True; True; False; False; False; False; True; True; True; True; True; True
3e0e876b891bf0dec296795ebf6c5504b95da115; True; True; True; False; False; True; True; True; False; True; False; True; True
7a9494ffd710f8ca0c983f75de83519ea70f1286; True; True; True; True; True; True; True; True; True; True; True; True; True
e3d48353c25c1d395090b9035e884042ae47e3f4; False; False; False; False; False; False; False; False; False; False; False; False; False
ce26239485ec29db5d60c6dc9aa28be38905acee; False; False; False; False; False; False; False; False; False; False; False; True; False
f6a365054e2dac95f8c5f83c81ff7e4878993b1b; False; False; False; False; False; False; False; False; False; False; False; True; False
8101d10928b4e5734db9de863d20a1c59491c017; True; True; True; False; False; False; False; True; False; True; False; True; True
96294349fa01530d5b9998b799846e8774b0b642; True; True; True; False; False; False; False; True; False; True; False; True; True
9ca570098da1a04702d83efd277c6d7799973852; False; False; False; False; False; False; False; False; False; False; False; False; False
865c90f0acd50f576335717d205ac53074cdd690; True; True; True; False; False; True; True; True; False; False; False; True; True
c04637c41a4fc6fe9d94068d41fe263dc5d9eaf3; True; True; True; False; False; True; True; True; False; True; False; True; True
3d360130e3982fb38631c698c5c0fc4fadfa0e95; False; False; False; False; False; False; False; False; False; False; False; True; False
0460292a35fc2033c86e19db93180b946ee3cadf; True; True; True; False; False; False; False; True; False; True; False; True; True
628940a0e387e3d0c65cc2d4aa423e4d701e64fb; True; True; True; False; False; True; True; True; False; True; False; True; True
81b214e27c8df310e3687be54e3b70f65efe15e7; True; True; True; False; False; True; True; True; False; True; False; True; True
42e14e47370cd96329e146ed165a9ba285f93fea; False; False; False; False; False; False; False; False; False; False; False; True; False
d894a7aea1083ec60298386d201c9bc33dcc6c4e; True; True; True; False; False; False; False; True; False; True; False; True; True
2ad439cde49e567e722f8288a0ae6a151806593a; True; True; True; False; False; False; False; False; False; False; True; True; True
09e0c05c84f15ec522b3551c269da5f08d762253; True; True; True; False; False; False; False; True; False; True; False; True; True
884e9c8770cac24b500d01d984ca73746f0800b6; True; True; True; False; False; True; True; True; False; True; False; True; True
d91a6a61519df9720df3fc5040c467cdf3072acd; False; False; False; False; False; False; False; True; False; False; False; False; False
9a97883400aaacbd98cb60db83faa116474cc40f; False; False; False; False; False; False; False; False; False; False; False; False; False
d3834d45085217bed96173ec0ea635a50e91dbbb; True; True; True; True; True; True; True; True; True; True; True; True; True
1292461dcae8581084c154dfd6aa0454ed4010a5; True; True; True; False; False; False; False; True; False; True; False; True; True
ccdd48cfa3b3647650f9c4601c9ca5a38123ce8c; False; False; False; False; False; False; False; True; False; True; False; False; False
3b0998f0c253dbbff4a11981e523b3fc3456c92e; True; True; True; True; True; True; True; True; True; True; True; True; True
93b3417d9c82160f9a081361f32610dc3f387e1d; False; False; False; False; False; False; False; False; False; False; False; True; False
04cf4c5cf37a8da308b4e9b141964df3797b70c5; True; True; True; False; False; False; False; True; True; True; True; True; True
2f1c6a95706894012cd42738ee79e244dc3124be; True; True; True; False; False; False; False; True; False; True; False; True; True
4da6e5ae580543684f4b1988f61f0e9b248dafe3; True; True; True; False; False; False; False; False; False; False; True; True; True
ba3e4c936c59ceb1565246a3114a6313debefe00; False; False; False; False; False; False; False; False; False; False; False; False; False
4226a9286d8f19cc482956690920a2e68b8affa0; True; True; True; False; False; False; False; True; False; False; False; True; True
08ba3f71382e98519c3378a7a9246afcc8b98045; True; True; True; False; False; False; False; True; True; True; True; True; True
7228c0cce5059783508837d4c503801519fe794f; False; False; False; False; False; False; False; False; False; False; False; True; False
35fed79c749b46ffb0fa12427783f731c3e597d5; True; True; True; False; False; False; False; True; False; True; False; True; True
58d9bf8287df5ef7e27fb6f05909326721129248; True; True; True; True; False; True; True; True; True; False; False; True; True
75e6d977ca88ef92bc8f71df482169a7e1f5918d; True; True; True; False; False; False; False; True; True; True; True; True; True
b00ce97a1ffb828b83654a0042442c7aa2833c28; True; True; True; False; False; False; False; False; False; False; False; True; True
010d36a7e657af1ec0719c84618d2e3d8db6b42d; True; True; True; False; False; False; False; True; False; True; False; True; True
66fce60bf9e69f81eeaa7e65a40e53a07644877d; True; True; True; False; False; True; True; True; False; True; False; True; True
b9f8764161b08aa86531149658d564429daa84dc; True; True; True; False; False; False; False; True; True; True; True; True; True
5edc50762b26606234296c11cb7e30e050ff4d53; True; True; True; False; False; True; True; True; False; True; False; True; True
9db0e6ba88e7e2dc9cb7dd41fb2710b98590767a; True; True; True; False; False; False; False; True; False; True; False; True; True
1b2990b7a6000399b4e953dc0380d67f66709562; True; True; True; False; False; True; True; True; False; True; False; True; True
27b091461fec56aabe24eb88885b799ee5fc265b; False; False; False; False; False; False; False; True; False; False; False; False; False
5c3d097caa616aad4e454cf219367605f52a6e64; False; False; False; False; False; False; False; True; False; False; False; False; False
93b820cfc60b65621cae3f2c37c5c6abcf98f68f; False; False; False; False; False; False; False; False; False; False; False; True; False
54d567227082e9e9805460ec3d545c8d430ef142; True; True; True; False; False; False; False; True; True; True; True; True; True
cec9cd5e5a829487c3ddf669e361f825a1b3100b; True; True; True; False; False; True; True; True; False; False; False; True; True
b082d669b0fb96b8def9e07a10c3f5a5df63619e; True; True; True; False; False; True; True; True; False; True; False; True; True
17908e5016241842edfd168fc3045816ff42d048; True; True; True; False; False; True; True; True; False; True; False; True; True
54f075a81bdc2f3450b097e3a2677e29b0e8dcc7; False; False; False; False; False; False; False; True; False; False; False; False; False
98195f56f24f84b650904cf1dfcd8f5072f62939; False; False; False; False; False; False; False; True; False; False; False; False; False
362acc7e28199b924b4c7b8627c500d4d63bea84; False; False; False; False; False; False; False; True; False; False; False; False; False
779b19207390cff1bf98c4ed72077e4ba55153a6; False; False; False; False; False; False; False; False; False; False; False; False; False
1c3b706051d3624bd724ca8e99a4c8452a466786; True; True; True; False; False; True; True; True; False; True; False; True; True
d9508559bbb1831ff9a7053558b0afcf9400909a; True; True; True; False; False; True; True; True; False; True; False; True; True
6e6f696b600fc6e3e9d72b75d14b6a47280e6270; True; True; True; False; False; False; False; True; True; True; True; True; True
cdc5bb93c6a8e0cd5aae4e620fe86f59205d6148; False; False; False; False; False; False; False; False; False; False; False; False; False
7098b109824398c36342cd7d256219772ecec4c7; True; True; True; False; False; True; True; True; False; True; False; True; True
c89711a3bf546e76943710fd34748b77c6e57648; True; True; True; False; False; True; True; True; False; True; False; True; True
dcc60f2efeb4b8452a4a5612c555fb6d1f913281; True; True; True; False; False; True; True; True; False; True; False; True; True
160969e2e80b24f81d1edb0c56b4c22ecf9b53bd; False; False; False; False; False; False; False; True; False; True; False; False; False
2638747d952a1357f04c03005ff3603bec483020; True; True; True; True; True; True; True; True; True; True; True; True; True
c7d87e67d6abf23a7baceb17998992a2ca3495cf; False; False; False; False; False; False; False; False; False; False; False; True; False
dc878a10221246c4ab2509f37e6390de7f7566da; True; True; True; False; False; True; True; True; False; True; False; True; True
0139366876ae1a8f17767bb6c2b9d98b3f96b06c; True; True; True; False; False; True; True; True; False; True; False; True; True
213f261430386960ffb44fddb77947340bc30080; True; True; True; False; False; False; False; True; False; True; False; True; True
974b6c07e91249f6d8b42560e5596c916467b345; True; True; True; True; True; True; True; True; True; True; True; True; True
aee3dfc987eb85038fb25ea4a5faf49f24e1e2be; False; False; False; False; False; False; False; False; False; False; False; True; False
0e935469f2a6284cb568ad7a2c8fd23bb9c76b8b; True; True; True; False; False; True; True; True; False; True; False; True; True
dbc33de2bb025b1d3fb170be1a2f0b5f0cac0ccd; True; True; True; False; False; False; False; True; True; True; True; True; True
e88072f1055e189a1b80b79152710c630d0a0ac7; False; False; False; False; False; False; False; False; False; False; False; True; False
a842e25cc42ce4abe5fb934a3029dae81b266af7; False; False; False; False; False; False; False; False; False; False; False; False; False
c52da4c4bbdbae3313155a725de64acd3f546fd9; False; False; False; False; False; False; False; True; False; True; False; False; False
f91f1ca009e49c074fbca3df6f241080dbc712b3; True; True; True; False; True; True; False; True; False; False; True; True; True
61bf5229cdf5f669e32903c6905a2231b61a62bf; False; False; False; False; False; False; False; True; False; False; False; False; False
3459e0ffbc2b78bc464d08eed720076759bd77a2; True; True; True; False; False; True; True; True; False; True; False; True; True
75d5af57e813edb58dce49d89fff7f4eed7810e1; False; False; False; False; False; False; False; True; False; False; False; False; False
155133b20f68a45fb7251c8ba189fa1eb6106439; True; True; True; False; False; False; False; True; False; True; False; True; True
a687de5aaf93864a610a432de4603e5674ce6e93; True; True; True; False; False; True; True; True; False; True; False; True; True
040299c4d37756b00c8130bb2d4bdb77732a6a6e; True; True; True; False; False; False; False; True; False; True; False; True; True
d03e5573d4ff30f1613480ebd5b011de9c4a6ea8; True; True; True; False; False; False; False; True; True; True; True; True; True
52491eb5472bd31048ec1da8938d78bd52b7613a; False; False; False; False; False; False; False; True; False; True; False; False; False
0e86fccca6bfe969930c4f110c9815c34fe1ae6b; True; True; True; False; False; False; False; True; False; True; False; True; True
91e92810d3d5c20ae8c208944b2f7461eda67d42; True; True; True; False; False; False; False; True; False; True; False; True; True
b704e126e16d1c1c91c1d1339584a86c4336fd1f; True; True; True; False; False; False; False; True; False; True; False; True; True
23ec936a5b93f77e4e57b92e17f0e89119840de0; True; True; True; False; False; False; False; True; False; True; False; True; True
2b07f99c27a625b23135dc6193ae8cf251d652e8; True; True; True; False; False; True; True; True; False; True; False; True; True
31d1dd829edcf0add95216a31f81851c19dd42b4; True; True; True; False; False; False; False; True; False; True; False; True; True
08cc15ba3c0ef31d9f06a921e0748db569eda853; True; True; True; False; False; False; False; True; False; False; False; True; True
4953d2c6731df8569cce94a7d6c765430205f309; False; False; False; False; False; False; False; True; False; False; False; False; False
bdfabd4b41afa80f487ee774a2abff561f2e5ed6; False; False; False; False; False; False; False; False; False; False; False; True; False
905a4636630a16bf54bf1d65b0753e8d51d342be; False; False; False; False; False; False; False; True; False; False; False; False; False
e491fbdb0e7de4b928f9c84251ce7feddd3cf26e; True; True; True; False; False; False; False; True; False; True; False; True; True
da21753c915b94220e71a32fc21b7d3943e60710; True; True; True; True; True; True; True; True; True; True; True; True; True
ad3c032fe72caad6c57527f662a46e779c2d3ea4; True; True; True; False; False; False; False; True; False; True; False; True; True
dc5b04d357ba36fc89d2a48e06f199f01975c16e; False; False; False; False; False; False; False; True; False; True; False; False; False
63550127ae5019e34685e2795d68877767f0c13d; True; True; True; False; False; True; True; True; False; True; False; True; True
10a9389c8a529a415d576bc07b85d15d96674085; False; False; False; False; False; False; False; False; False; False; False; False; False
d94fad0349e6c57003ba367abc3d0b384a023357; True; True; True; False; False; False; False; True; False; True; False; True; True
965b3fc44b882ff00be56b7740d2c68f136166e0; False; False; False; False; False; False; False; True; False; False; False; False; False
8aa23e8130dfbd46db542915cc82bd3a636f53cf; True; True; True; False; False; False; False; True; False; True; False; True; True
9b9ecc49821fa00baa17d25e9788263d12fd028b; False; False; False; False; False; False; False; False; False; False; False; True; False
ee7a0d99a62d599e28d34b175e1cbd7d1c1fa09e; False; False; False; False; False; False; False; False; False; False; False; False; False
75320ff2276b55834a043d586951c24dbd57ee57; False; False; False; False; False; False; False; False; False; False; False; True; False
fd6e988b51203c733d385ec5919aeec70ce01691; False; False; False; False; False; False; False; True; False; False; False; False; False
ada547bcfa1afb9363799d424b0dca0839017984; True; True; False; False; False; True; True; True; True; True; True; True; True
e6149ae2f4481876f82cedd3a7a4687a76dedbae; True; True; True; False; False; True; True; True; False; True; False; True; True
aeadd7c24b29d03b16fd7e7ce5e8e9de33658b1e; True; True; True; False; False; False; False; True; False; True; False; True; True
55027c0eec161ce4684f34cc361f0013d4b56b88; True; True; True; False; False; True; True; True; False; True; False; True; True
89477c39ff864039b3b2d6731f603fa755ac1a18; True; True; True; False; False; True; True; True; False; True; False; True; True
abc5ffdfcdf2c9b323a80b32476688974f73acd9; False; False; False; False; False; False; False; False; False; False; False; True; False
63a2516b6c1b5138c5e31eedff7bfe81ad5d4192; True; True; True; False; False; False; False; True; False; True; False; True; True
97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f; False; False; False; False; False; False; False; False; False; False; False; False; False
5576df0e7284de0e8894f09eb2f1016ad12034a0; True; True; True; True; True; True; True; True; True; True; True; True; True
35f078dbda7d27ba13548e76e5b541dcca6e5b88; True; True; True; False; False; False; False; True; False; True; False; True; True
08c8ddb10d0140bc6c0259c59920031122d6c3a6; True; True; True; True; True; True; True; True; True; True; True; True; True
170a6f75e536d7e8d8b59ba8cb68d2c9508316af; True; True; True; False; False; False; False; True; False; True; False; True; True
22026b24ffc39db3c57605a58154c7e64dc3f539; True; True; True; True; True; True; True; True; True; True; True; True; True
a408b97bf813eea6af864dc0c9687f3db5120486; True; True; True; False; False; False; False; True; False; True; False; True; True
dc8bdcbd31621d49a31670b69a6cf7665c889d93; False; False; False; False; False; False; False; False; False; False; False; True; False
785d234990a814df8c30f5f6d52d68eeff84f7a0; False; False; False; False; False; False; False; True; False; True; False; False; False
9a500f554bd69c148ea11ddcc127450182601006; False; False; False; False; False; False; False; False; False; False; False; False; False
a75090205c466473334569bf3abe4d5c38b56359; False; False; False; False; False; False; False; False; False; False; False; True; False
b5ce6a06efa571ba3cc3505c535f11a2529e1317; True; True; True; False; False; False; False; True; False; True; False; True; True
d6801695019e3d9d91cdd0c6631fc14353f45892; True; True; True; False; False; False; False; True; False; True; False; True; True
1746c958b5decfbe4ac37f39acc0ba71941caa7e; False; False; False; False; False; False; False; False; False; False; False; True; False
5e5606e87b84d0a7e164f43a5f39521879e3eae7; True; True; True; False; False; False; False; True; False; True; False; True; True
04075df74966b1087c761b7ff87f935e6a33190b; True; True; True; False; False; True; True; True; False; True; False; True; True
76b8bc7a569a85372be7cde7b0c840620ab04d2d; False; True; False; False; True; True; False; True; False; False; False; False; True
5084b38dd3d17559b7a84879ef42907be4e83bfd; True; True; True; False; False; False; False; True; False; True; False; True; True
2cdc04191ac57750e365b21b107f20a55395d2e8; True; True; True; False; False; False; False; True; False; False; False; True; True
9784635f72222f6a8f9d74c0bd939faf5787cc7b; False; True; False; False; False; True; False; True; False; False; False; False; True
015f1b8e65c4899cbaf78aa749c9336fbe274de6; True; True; True; False; False; False; False; True; False; False; False; True; True
a9f42d14f61a132bf37165e494667c40ee9ef150; False; False; False; False; False; False; False; False; False; False; False; False; False
72fa0a3507639ead4d995b626c81053cc7afe5c8; True; True; True; True; True; True; True; True; True; True; True; True; True
ef2d03827b774ce09951bb16fb06a82e9328d3f3; False; False; False; False; False; False; False; True; True; True; True; False; False
9344853e5ce88ce0f8a23ac14a3e53165d2841ff; True; True; True; False; False; True; True; True; False; True; False; True; True
e57c9e6bf58f9032db69c9bf99b3a17324114016; False; False; False; False; False; False; False; False; False; False; False; True; False
53dd685f93aa5db346c8ad732deead3f17ea30d6; True; True; True; False; False; True; True; True; False; True; False; True; True
922534b3617fa1224541ada3fbc71f937b270feb; False; False; False; False; False; False; False; False; False; False; False; False; False
655fb99b4334333406e11eb3b1708780d8e11a82; True; True; True; False; False; False; False; True; True; True; True; True; True
688b306241ead4ded515d582506e125d013fc173; True; True; True; False; False; False; False; True; True; True; True; True; True
